作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
84124,だっしゅ&せっくす読み切り成人指定だっしゅ&せっくす;ダッシュアンドセックス;;だっしゅあんどせっくす  ダッシュアンドセックス だっしゅあんどせっくす,（あ〜る・こが）,2012年,コミック・マショウ,0,
32583,ダムテ成人指定;;;;だむて;ダムテ  ダムテ だむて,（あ〜る・こが）,,,0,
32585,小さな冒険成人指定;;;;;ちいさなぼうけん;チイサナボウケン;小さな冒険  チイサナボウケン ちいさなぼうけん,（あ〜る・こが）,,,0,
32632,小っちゃな落札品読み切り成人指定;;;;;ちっちゃならくさつひん;チッチャナラクサツヒン;小っちゃな落札品  チッチャナラクサツヒン ちっちゃならくさつひん,（あ〜る・こが）,2001年,COMIC桃姫,0,
32590,Twin Prug-in成人指定;;;;;Twin Prug-in;ついんぷらぐいん;ツインプラグイン  ツインプラグイン ついんぷらぐいん,（あ〜る・こが）,,,0,
32563,繋がり成人指定;;;;;つながり;ツナガリ;繋がり  ツナガリ つながり,（あ〜る・こが）,,,0,
32609,妻ってよんで連載終了成人指定;;;;CALL ME A WIFE!;つまってよんで;ツマッテヨンデ;妻ってよんで  ツマッテヨンデ つまってよんで,（あ〜る・こが）,,COMIC桃姫,0,
32635,強くなりたい。連載終了成人指定;;;;;つよくなりたい;ツヨクナリタイ;強くなりたい。  ツヨクナリタイ つよくなりたい,（あ〜る・こが）,2002年,COMIC桃姫,0,
32606,TAKEN OUT成人指定;;;TAKEN OUT;ていくんあうと;テイクンアウト  テイクンアウト ていくんあうと,（あ〜る・こが）,,,0,
32589,徹夜でちゅぷちゅぷお勉強成人指定;;;;;てつやでちゅぷちゅぷおべんきょう;テツヤデチュプチュプオベンキョウ;徹夜でちゅぷちゅぷお勉強  テツヤデチュプチュプオベンキョウ てつやでちゅぷちゅぷおべんきょう,（あ〜る・こが）,,,0,
32656,天国への扉読み切り成人指定天国への扉;テンゴクヘノトビラ;;てんごくへのとびら  テンゴクヘノトビラ てんごくへのとびら,（あ〜る・こが）,1999年,ヤングペンギンCOMICペンギンクラブ増刊,0,
84136,天使のお風呂成人指定天使のお風呂;テンシノオフロ;;てんしのおふろ  テンシノオフロ てんしのおふろ,（あ〜る・こが）,,,0,
32639,DOLL PLAY成人指定;;;;;DOLL PLAY;どーるぷれい;ドールプレイ  ドールプレイ どーるぷれい,（あ〜る・こが）,,,0,
32586,ないしょ内緒のお泊まり会成人指定;;;;;ないしょないしょのおとまりかい;ないしょ内緒のお泊まり会;ナイショナイショノオトマリカイ  ナイショナイショノオトマリカイ ないしょないしょのおとまりかい,（あ〜る・こが）,,,0,
32617,夏のお別れ会読み切り成人指定;;;;;なつのおわかれかい;ナツノオワカレカイ;夏のお別れ会  ナツノオワカレカイ なつのおわかれかい,（あ〜る・こが）,2004年,ひな缶Hi!『COMIC天魔』増刊,0,
84123,なんてったってJr.ライバル読み切り成人指定なんてったってJr.ライバル;ナンテッタッテジュニアライバル;;なんてったってじゅにあらいばる  ナンテッタッテジュニアライバル なんてったってじゅにあらいばる,（あ〜る・こが）,2012年,コミック・マショウ,0,
32626,にゃータンといっしょ☆連載終了成人指定;;;;にゃーたんといっしょ;にゃータンといっしょ☆;ニャータントイッショ にゃーたんといっしょ;ニャータンといっしょ ニャータントイッショ にゃーたんといっしょ,（あ〜る・こが）,2002年,COMIC桃姫,0,
32615,ぬるぬる罰ゲーム成人指定;;;;;ぬるぬるばつげーむ;ぬるぬる罰ゲーム;ヌルヌルバツゲーム  ヌルヌルバツゲーム ぬるぬるばつげーむ,（あ〜る・こが）,,,0,
32613,猫といつまでも成人指定;;;;;ねこといつまでも;ネコトイツマデモ;猫といつまでも  ネコトイツマデモ ねこといつまでも,（あ〜る・こが）,,,0,
32599,ハッピーハッピーバースデー成人指定;;;;はっぴーはっぴーばーすでー;ハッピーハッピーバースデー ハッピーハッピーバースディ ハッピーハッピーバースデー はっぴーはっぴーばーすでー,（あ〜る・こが）,,,0,
32650,HAPPY BIRTHDAY読み切り成人指定;;;;;HAPPY BIRTHDAY;はっぴーばーすでい;ハッピーバースデイ  ハッピーバースデイ はっぴーばーすでい,（あ〜る・こが）,2000年,COMICコーヒーブレイク,0,
32645,歯止めのない朝日読み切り成人指定歯止めのない朝日;ハドメノナイアサヒ;;はどめのないあさひ  ハドメノナイアサヒ はどめのないあさひ,（あ〜る・こが）,2000年,COMICコーヒーブレイク,0,
32592,PEAFORM ME HARD!成人指定PEAFORM ME HARD!;パフォームミーハード;;ぱふぉーむみーはーど  パフォームミーハード ぱふぉーむみーはーど,（あ〜る・こが）,,,0,
100902,被虐教室〜虐欲少女の宴〜成人指定被虐教室;ヒギャクキョウシツ;;〜虐欲少女の宴〜;ひぎゃくきょうしつ  ヒギャクキョウシツ ひぎゃくきょうしつ,（あ〜る・こが）,,,0,
32610,羊さんが見てた成人指定;;;;ひつじさんがみてた;ヒツジサンガミテタ;羊さんが見てた  ヒツジサンガミテタ ひつじさんがみてた,（あ〜る・こが）,,,0,
84126,ひんにゅう小悪魔 睡魔&淫夢読み切り成人指定ひんにゅう小悪魔 睡魔&淫夢;ヒンニュウコアクマスイマアンドインム;;ひんにゅうこあくますいまあんどいんむ  ヒンニュウコアクマスイマアンドインム ひんにゅうこあくますいまあんどいんむ,（あ〜る・こが）,2012年,コミック・マショウ,0,
84127,ひんにゅう小悪魔 睡魔&淫夢〜2012冬〜読み切り成人指定ひんにゅう小悪魔 睡魔&淫夢;ヒンニュウコアクマスイマアンドインム;;〜2012冬〜;ニセンジュウニフユ;ひんにゅうこあくますいまあんどいんむ;にせんじゅうにふゆ  ヒンニュウコアクマスイマアンドインム ひんにゅうこあくますいまあんどいんむ ニセンジュウニフユ にせんじゅうにふゆ,（あ〜る・こが）,2012年,コミック・マショウ,0,
